3/30/2022 1:19:19 PM, Sprite, 1.25
3/30/2022 2:01:00 PM, Pepsi, 1.5
3/30/2022 2:01:33 PM, Lemonade, 2
3/30/2022 2:01:47 PM, Coke, 1.25
3/30/2022 2:01:58 PM, Water, 1
3/30/2022 2:02:44 PM, Root Beer, 1.25
3/31/2022 5:27:17 AM, Pepsi, 1.5
3/31/2022 5:27:59 AM, Water, 1
3/31/2022 6:13:35 AM, Sprite, 1.25
3/31/2022 6:30:37 AM, Pepsi, 1.5
3/31/2022 6:30:44 AM, Lemonade, 2
4/7/2022 10:10:51 AM,Pepsi,1.5
4/7/2022 10:10:58 AM,Coke,1.25
4/8/2022 7:17:52 AM,Pepsi,1.5
4/8/2022 7:20:29 AM,Lemonade,2
4/8/2022 8:05:19 AM,Pepsi,1.5
4/8/2022 8:10:46 AM,Pepsi,1.5
4/8/2022 8:10:54 AM,Lemonade,2
4/8/2022 8:11:08 AM,Coke,1.25
